Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Transmembrane Receptor Protein Serine/Threonine Kinase Activity (GO:0004675)	1/15	0.0724552331756038	0.1730274225089046	0	0	14.347763347763347	37.6598138369901	LTBP1
GO_Molecular_Function_2023	Ephrin Receptor Activity (GO:0005003)	1/15	0.0724552331756038	0.1730274225089046	0	0	14.347763347763347	37.6598138369901	EPHA4
GO_Molecular_Function_2023	3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	1/16	0.0770964289305897	0.1787743279549906	0	0	13.390572390572393	34.31599732708391	PDE4D
GO_Molecular_Function_2023	CXCR Chemokine Receptor Binding (GO:0045236)	1/16	0.0770964289305897	0.1787743279549906	0	0	13.390572390572393	34.31599732708391	CXCL12
GO_Molecular_Function_2023	Phosphatidylinositol 3-Kinase Regulator Activity (GO:0035014)	1/17	0.0817146326715556	0.18677630324927	0	0	12.553030303030305	31.43934295429433	PIK3R1
GO_Molecular_Function_2023	Amino Acid:Sodium Symporter Activity (GO:0005283)	1/18	0.0863099571505927	0.1945013118886597	0	0	11.81402257872846	28.942114306609312	SLC6A6
GO_Molecular_Function_2023	1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841)	1/19	0.0908825145361798	0.1974514054962959	0	0	11.15712682379349	26.75688382123247	PNPLA3
GO_Molecular_Function_2023	R-SMAD Binding (GO:0070412)	1/19	0.0908825145361798	0.1974514054962959	0	0	11.15712682379349	26.75688382123247	SMAD6
GO_Molecular_Function_2023	Phosphatidylinositol Phospholipase C Activity (GO:0004435)	1/20	0.0954324164624814	0.1974514054962959	0	0	10.569377990430622	24.83103038927071	PLCB1
GO_Molecular_Function_2023	Lysophosphatidic Acid Acyltransferase Activity (GO:0042171)	1/20	0.0954324164624814	0.1974514054962959	0	0	10.569377990430622	24.83103038927071	PNPLA3
GO_Molecular_Function_2023	Calcium Ion Binding (GO:0005509)	4/346	0.0955320554882492	0.1974514054962959	0	0	2.382797270955166	5.595507172244871	ANXA3;EML1;NCALD;MYL12B
GO_Molecular_Function_2023	Carboxylic Ester Hydrolase Activity (GO:0052689)	2/104	0.0955625544444408	0.1974514054962959	0	0	3.961184473789516	9.300759047174036	ASPG;PNPLA3
GO_Molecular_Function_2023	Kinase Activity (GO:0016301)	2/106	0.0986696402849088	0.1974514054962959	0	0	3.8846153846153846	8.996683675058378	LYN;EPHA4
GO_Molecular_Function_2023	Triglyceride Lipase Activity (GO:0004806)	1/21	0.0999597740324998	0.1974514054962959	0	0	10.04040404040404	23.1229243332888	PNPLA3
GO_Molecular_Function_2023	Lysophospholipase Activity (GO:0004622)	1/21	0.0999597740324998	0.1974514054962959	0	0	10.04040404040404	23.1229243332888	ASPG
GO_Molecular_Function_2023	Cyclic Nucleotide Binding (GO:0030551)	1/21	0.0999597740324998	0.1974514054962959	0	0	10.04040404040404	23.1229243332888	PDE4D
GO_Molecular_Function_2023	Phospholipase C Activity (GO:0004629)	1/23	0.1089472978360328	0.2075186625448244	0	0	9.1267217630854	20.232947516534363	PLCB1
