	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
Lama3	5.646888565014984	0.20576885811307843	0.9267199491333308	0.22203995749256683	0.8242827780253729	0.927763195255786	Lama3	Adipocytes_Brown	diet	Control	HF
Lama4	5945.044983968778	0.5079967818005322	0.25314324826861234	2.00675619545457	0.04477562918199516	0.18855613277068778	Lama4	Adipocytes_Brown	diet	Control	HF
Lama5	19.724177682448943	3.583162272414452	0.6925890377888075	5.173576359011146	2.2965520532174168e-07	9.559899739200366e-06	Lama5	Adipocytes_Brown	diet	Control	HF
Lamb1	162.82716475131474	-0.373079665339622	0.2648845350773266	-1.4084614839092455	0.15899446425769248	0.4087047394778107	Lamb1	Adipocytes_Brown	diet	Control	HF
Lamb2	226.1327323961616	-0.21246412132927167	0.2555676432096783	-0.8313420222565394	0.40578044173917205	0.6758602068310727	Lamb2	Adipocytes_Brown	diet	Control	HF
Lamb3	31.54323113334503	-0.13768541207792462	0.40866371807302143	-0.3369161635565664	0.7361801002149675	0.8835958112324783	Lamb3	Adipocytes_Brown	diet	Control	HF
Lamc1	2180.5942193061533	-0.3468805267498378	0.22461859510940535	-1.5443090389773033	0.12251348386655317	0.35151142083345654	Lamc1	Adipocytes_Brown	diet	Control	HF
Lamc3	13.29850201962441	-4.039413937447932	0.8341787855513271	-4.842383919867005	1.2829058359662928e-06	4.3973059283724e-05	Lamc3	Adipocytes_Brown	diet	Control	HF
Lamp1	1305.3926801400569	0.36054793015364583	0.2217812304743124	1.6256918107206821	0.10401523303686912	0.3188343490267803	Lamp1	Adipocytes_Brown	diet	Control	HF
Lamp2	1036.3731972866035	0.5006240228520135	0.2227692823487622	2.2472758253458327	0.024622404863819784	0.12764492038690106	Lamp2	Adipocytes_Brown	diet	Control	HF
Lamtor1	3.686440563153436	0.7863393072709985	1.038504878113366	0.757184028542579	0.4489396174357948	0.706510710107907	Lamtor1	Adipocytes_Brown	diet	Control	HF
Lamtor2	113.7547651623059	-0.611472176627528	0.25962200930218854	-2.3552401365009135	0.018510739079081094	0.10430136585546575	Lamtor2	Adipocytes_Brown	diet	Control	HF
Lamtor3	240.74951317269384	-0.5085040163415355	0.19458682163700525	-2.6132500241467103	0.008968566519698044	0.06279470041311035	Lamtor3	Adipocytes_Brown	diet	Control	HF
Lamtor4	108.11265818836146	-0.15321474345712155	0.2900959263832066	-0.5281519991243525	0.5973938422409566	0.8062778748535692	Lamtor4	Adipocytes_Brown	diet	Control	HF
Lamtor5	50.79965043089928	-0.1392468875064803	0.32432291414058434	-0.4293464366385192	0.6676711277340165	0.8485263785367197	Lamtor5	Adipocytes_Brown	diet	Control	HF
Lancl1	163.85628301787915	-0.38822374931682935	0.25041028629035517	-1.5503506468048083	0.12105737732742092	0.3486340017913187	Lancl1	Adipocytes_Brown	diet	Control	HF
Lancl2	91.21833670408523	-0.05088612153396796	0.2533813103230604	-0.20082823578853667	0.8408328837339518	0.934958063086224	Lancl2	Adipocytes_Brown	diet	Control	HF
Lancl3	9.228965040589285	2.031798136538101	0.7886245179260635	2.576382156975482	0.009984023142524657	0.06786057197085472	Lancl3	Adipocytes_Brown	diet	Control	HF
Lap3	192.49609070931706	-0.08902549204930754	0.23086726221892795	-0.38561332253719893	0.6997830650054837	0.8664087830128384	Lap3	Adipocytes_Brown	diet	Control	HF
Laptm4a	124.52048049061328	-0.6410997950933602	0.2304909584064626	-2.781453118706737	0.005411614615165687	0.04378955243980589	Laptm4a	Adipocytes_Brown	diet	Control	HF
Laptm4b	79.18051274282071	0.5051646679609235	0.2833963303040036	1.782537788753389	0.07466157457348752	0.25974101521688103	Laptm4b	Adipocytes_Brown	diet	Control	HF
Large1	2297.085563624482	-0.627379148645257	0.1805595999505599	-3.474637453876966	0.0005115442082233815	0.007226621770315948	Large1	Adipocytes_Brown	diet	Control	HF
Large2	3.9789259676602824	0.1632921937607014	0.8986229913082283	0.18171379470602936	0.8558073396020922	0.9408802852190857	Large2	Adipocytes_Brown	diet	Control	HF
Larp1	1416.3651488634844	-0.27203120811433346	0.16508393100668126	-1.6478357793849954	0.09938637471781757	0.3107323559778535	Larp1	Adipocytes_Brown	diet	Control	HF
Larp1b	1291.741518978434	0.10023649708301376	0.2056082880058524	0.4875119483518128	0.6258955775738674	0.8233434467827857	Larp1b	Adipocytes_Brown	diet	Control	HF
Larp4	2106.244890888292	-0.043697994364068925	0.15053747724511168	-0.2902798370462788	0.7716021627963099	0.9030514144407563	Larp4	Adipocytes_Brown	diet	Control	HF
Larp4b	1097.8705176920232	0.12744271600482823	0.1853319775182711	0.6876455844877832	0.49167599482867563	0.7346128804422909	Larp4b	Adipocytes_Brown	diet	Control	HF
Larp7	178.5010618822175	0.005762075297121393	0.264801138036324	0.02176000956737196	0.9826393943694699	0.9940827306795575	Larp7	Adipocytes_Brown	diet	Control	HF
Lars1	546.6145627993125	-0.28907423051728853	0.21196264902787565	-1.3637979702700913	0.17263115929858164	0.43023184632209865	Lars1	Adipocytes_Brown	diet	Control	HF
Lars2	434.2365245092611	0.0906097948000583	0.269183133223941	0.33661022410597125	0.7364107478434444	0.8836431049633846	Lars2	Adipocytes_Brown	diet	Control	HF
Las1l	230.74338576962649	0.5618750773265525	0.21372601121054588	2.628950375034313	0.008564885847511267	0.06093604093513164	Las1l	Adipocytes_Brown	diet	Control	HF
Lasp1	412.59229012201655	0.22010498139010837	0.20623143928204327	1.0672717125786606	0.28584915782411013	0.5658122747764744	Lasp1	Adipocytes_Brown	diet	Control	HF
Lat	32.97371513674302	0.21453582643725697	0.43734912746447807	0.49053676562938103	0.6237541201595166	0.8223330983425785	Lat	Adipocytes_Brown	diet	Control	HF
Lats1	392.21610269678655	-0.0008362630236475881	0.2015208533265785	-0.004149759242495693	0.9966889806722687	0.9993466095125838	Lats1	Adipocytes_Brown	diet	Control	HF
Lats2	169.01930541777872	0.09143332993194675	0.25581510405935404	0.35741959126358874	0.7207777123715395	0.8770479730341804	Lats2	Adipocytes_Brown	diet	Control	HF
Lbh	23.80145946517258	-0.01869270231209028	0.6195779571714285	-0.0301700570456516	0.975931428672121	0.9918858548784006	Lbh	Adipocytes_Brown	diet	Control	HF
Lbr	32.89028920781275	-0.08618719610676825	0.39453411980907965	-0.21845308625899174	0.8270761072974486	0.9288622656182256	Lbr	Adipocytes_Brown	diet	Control	HF
Lca5	3.2571348273455905	-0.10758200657850527	1.0518868638408898	-0.10227526388691388	0.9185381888918429	0.9663850185140068	Lca5	Adipocytes_Brown	diet	Control	HF
Lcat	94.14708891965874	1.9580460956188708	0.3346987833713932	5.8501739262259465	4.91059249440695e-09	3.0183617808169645e-07	Lcat	Adipocytes_Brown	diet	Control	HF
Lclat1	281.89265227185234	0.6215100848253975	0.19061116638179343	3.2606173952081865	0.0011116993674785873	0.013184671997415343	Lclat1	Adipocytes_Brown	diet	Control	HF
Lcmt1	160.04437287844956	-0.2298132687000092	0.24536111399164115	-0.9366328060763466	0.34894747085825784	0.6258789683941152	Lcmt1	Adipocytes_Brown	diet	Control	HF
Lcmt2	3.557456579669801	0.8364640041222535	1.0857453511368285	0.7704053286955682	0.44105949347819395	0.7013502974629228	Lcmt2	Adipocytes_Brown	diet	Control	HF
Lcor	2016.9111050490428	-0.09103055364219224	0.15831291119197025	-0.5750039776086777	0.5652886069012877	0.7868235667902932	Lcor	Adipocytes_Brown	diet	Control	HF
Lcorl	694.689798791643	-0.00794207609163929	0.26379310080389956	-0.030107216858348877	0.9759815451208667	0.9918858548784006	Lcorl	Adipocytes_Brown	diet	Control	HF
Ldaf1	183.40503172544595	1.0880944940626989	0.29457536866720396	3.6937728330299464	0.00022095120455769743	0.003751475631168873	Ldaf1	Adipocytes_Brown	diet	Control	HF
